"directorio","secuencia_p","orden","clase","mes","estrato1","sex","age","p6050","p6090","p6100","p6210","p6210s1","p6240","p7495","p7500s1a1","p7500s2a1","p7500s3a1","p7505","p7510s1a1","p7510s2a1","p7510s3a1","p7510s5a1","p7510s6a1","p7510s7a1","pet","iof1","iof2","iof3h","iof3i","iof6","ingtotob","ingtot","maxEducLevel","regSalud","wap","ocu","dsi","pea","inac","totalHoursWorked","formal"
4514343,1,2,1,1,2,0,25,2,1,1,6,2,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514343,1,1,1,1,2,1,29,1,1,1,5,11,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,779000,779000,6,1,1,1,0,1,0,54,1
4514344,1,2,1,1,2,0,44,2,2,1.38606565221552,4,8,6,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3e+05,3e+05,5,1.37731148797547,1,1,0,1,0,42,0
4514345,1,5,1,1,2,1,31,3,1,1,5,11,6,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2121000,6,1,1,1,0,1,0,55,1
4514345,1,1,1,1,2,1,57,1,1,1,5,11,6,1,0,1400000,0,2,0,0,0,0,0,0,1,0,1400000,0,0,0,1400000,1400000,6,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514345,1,2,1,1,2,0,53,2,1,1,3,5,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514345,1,4,1,1,2,0,18,3,1,1,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,250000,6,1,1,1,0,1,0,84,0
4514346,1,1,1,1,2,1,55,1,1,3,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,9e+05,6,3,1,1,0,1,0,48,0
4514347,1,1,1,1,2,0,71,1,1,1,3,5,6,1,0,649191,0,2,0,0,0,0,0,0,1,0,649191,0,0,0,649191,649191,4,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514348,1,1,1,1,2,0,56,1,1,1,3,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,820857,820857,4,1,1,1,0,1,0,48,1
4514349,1,1,1,1,2,0,50,1,1,3,3,4,6,2,0,0,0,1,6e+05,0,0,0,0,0,1,0,0,50000,0,0,50000,50000,3,3,1,0,0,0,1,47.4026719864587,0.586809333816951
4514349,1,3,1,1,2,1,23,3,1,1,6,4,1,2,0,0,0,1,0,0,0,0,9e+05,3400000,1,0,0,0,0,0,1226333.41666667,1226333.41666667,7,1,1,1,0,1,0,40,1
4514349,1,2,1,1,2,1,30,3,1,1,5,11,1,2,0,0,0,1,0,0,0,0,0,9e+05,1,0,0,0,0,0,1237806.66666667,1237806.66666667,6,1,1,1,0,1,0,54,1
4514350,1,1,1,1,2,0,50,1,1,1,6,2,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6e+05,6e+05,7,1,1,1,0,1,0,48,0
4514350,1,2,1,1,2,1,28,3,1,1,6,2,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,949806.666666667,949806.666666667,7,1,1,1,0,1,0,48,1
4514351,1,2,1,1,2,0,38,3,1,3,3,5,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,1,0,0,0,1,47.4026719864587,0.586809333816951
4514351,1,1,1,1,2,0,54,1,1,3,4,8,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1500000,1500000,5,3,1,1,0,1,0,66,0
4514352,1,1,1,1,2,0,56,1,1,3,4,7,4,2,0,0,0,1,1200000,0,0,0,0,0,1,0,0,1e+05,0,0,1e+05,1e+05,5,3,1,0,0,0,1,47.4026719864587,0.586809333816951
4514352,1,2,1,1,2,1,36,3,1,3,5,11,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,310000,310000,6,3,1,1,0,1,0,16,0
4514353,1,1,1,1,2,0,53,1,1,1,4,8,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,60000,60000,5,1,1,1,0,1,0,40,0
4514354,1,2,1,1,2,0,33,2,1,1,6,3,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1591500,1591500,7,1,1,1,0,1,0,48,1
4514354,1,4,1,1,2,0,64,9,1,1,3,5,4,1,0,737717,0,2,0,0,0,0,0,0,1,0,737717,0,0,0,737717,737717,4,1,1,0,0,0,1,47.4026719864587,0.586809333816951
4514354,1,1,1,1,2,1,38,1,1,1,5,11,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,795883.666666667,795883.666666667,6,1,1,1,0,1,0,48,1
4514356,1,5,1,1,2,1,28,5,1,3,6,1,3,2,0,0,0,1,1e+06,0,0,0,0,0,1,0,0,83333.3333333333,0,0,83333.3333333333,83333.3333333333,7,3,1,0,0,0,1,47.4026719864587,0.586809333816951
